Sample_number,Species,Sex,Age,Date_of_sample_collection,"2,2',3,4,4',5,5'-Heptachlorobiphenyl (PCB #180)","2,2',3,4,4',5'-Hexachlorobiphenyl (PCB #138)","2,2',4,4',5,5'-Hexachlorobiphenyl (PCB #153)","2,2',4,5,5'-Pentachlorobiphenyl (PCB #101)",Acenaphthene,Avobenzone,BHC-beta,Caffeine,"DDE-p,p'",DEHA (Di(2-ethylhexyl) adipate),DINCH (Diisononyl hexahydrophthalate),DPHP (Bis(2-propylheptyl) phthalate),EHS (2-Ethylhexyl salicylate),Epoxiconazole,Fluopyram,Fluorene,Galaxolide,OC (Octocrylene),Oxybenzone,Phenanthrene,Tetraconazole,Triphenyl phosphate,UV 328,Uvinul A Plus,Park,(-)-Cotinine,17α-Ethinylestradiol,Cypermethrin,Diphenylamine,Estrone,Fipronil,Fludioxonil,TDCPP,Tebuconazole,Tonalid,Picolinafen,Triclosan,"1,3-Dinitrobenzene","2,2',4,4'-tetrabromodiphenyl ether (BDE-47)","2,2',5,5'-Tetrachlorobiphenyl (PCB #52)",Boscalid,"2,4,4'-Trichlorobiphenyl (PCB #28)",Dieldrin,Atrazine,Propiconazole,Terbuthylazine,Terbuthylazine-desethyl,oxy-Chlordane,Clopidogrel,Diazepam,Fenpropidin,Heptachlor,Myclobutanil,trans-Chlordane,"2,2',4,4',5-pentabromodiphenyl ether (BDE-99)",Azoxystrobin,Codeine,Fipronil sulfone,Lenacil,Benzophenone-1,Difenoconazole,Dimethomorph,Season
G39,D. dama,Male,Fawn,2023-11-17,NA,<1,<2,NA,<4,NA,NA,2.5718000000000001,<1,<20,<4,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,NA,<10,Jasmund,<2,NA,NA,<10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
G40,D. dama,Female,Adult,2023-11-17,NA,NA,NA,NA,<4,<10,NA,<2,<1,<20,NA,<10,<4,NA,NA,<4,<2,10.061199999999999,<1,<10,NA,<1,NA,<10,Jasmund,NA,NA,NA,<10,NA,NA,NA,NA,<2,NA,NA,NA,<10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
G41,D. dama,Male,Fawn,2023-12-02,NA,<1,<2,NA,<4,NA,NA,4.819,<1,<20,<4,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,NA,<10,Jasmund,NA,NA,NA,<10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
G42,D. dama,Female,Subadult,2024-01-31,NA,<1,<2,NA,<4,NA,NA,3.8542000000000001,<1,<20,<4,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,NA,<10,Jasmund,NA,NA,NA,<10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
G43,C. elaphus,Male,Fawn,2023-11-25,<1,<1,<2,NA,<4,<10,<1,4.6176000000000004,1.5656000000000001,<20,13.638,<10,16.8948,<1,NA,<4,<2,<10,<1,<10,NA,<1,NA,<10,Jasmund,<2,NA,NA,<10,NA,NA,NA,NA,6.2210000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
G44,D. dama,Female,Subadult,2023-12-19,NA,NA,NA,NA,<4,NA,NA,<2,<1,<20,<4,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,NA,<10,Jasmund,NA,NA,NA,<10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
G45,D. dama,Female,Fawn,2023-12-19,NA,<1,<2,NA,<4,NA,NA,6.6818,<1,<20,<4,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,NA,<10,Jasmund,NA,NA,NA,<10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
G46,D. dama,Female,Adult,2023-11-18,NA,NA,NA,NA,<4,NA,NA,<2,<1,<20,<4,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,<4,<10,Jasmund,NA,NA,NA,<10,NA,NA,NA,NA,NA,NA,NA,NA,11.941599999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
G47,D. dama,Female,Adult,2023-11-17,NA,NA,NA,NA,<4,NA,NA,8.2612000000000005,<1,<20,<4,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,NA,<10,Jasmund,NA,NA,NA,<10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
G48,D. dama,Male,Fawn,2023-12-19,NA,<1,<2,NA,<4,NA,NA,2.1604000000000001,<1,<20,NA,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,NA,<10,Jasmund,<2,NA,NA,<10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
G49,D. dama,Male,Fawn,2024-01-31,NA,<1,<2,NA,<4,NA,NA,2.9182000000000001,<1,<20,<4,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,NA,<10,Jasmund,NA,NA,NA,<10,NA,NA,NA,NA,NA,NA,NA,NA,<10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
G50,D. dama,Male,Fawn,2023-11-17,NA,<1,<2,NA,<4,NA,NA,3.0670000000000002,<1,<20,<4,<10,<4,NA,NA,<4,<2,<10,<1,17.4062183588529,NA,<1,NA,<10,Jasmund,<2,NA,NA,<10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
Z01,C. elaphus,Female,Adult,2023-11-29,NA,<1,<2,NA,<4,12.744102178570079,NA,<2,<1,<20,NA,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,<4,<10,Eifel,NA,NA,NA,<10,2.3593803435648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
Z02,C. elaphus,Male,Subadult,2023-11-21,<1,1.7540823364040841,2.1746348672079798,NA,<4,11.38119268047102,NA,4.1962720229543002,<1,<20,<4,<10,<4,NA,NA,<4,<2,<10,<1,<10,<1,<1,<4,<10,Eifel,NA,NA,NA,<10,2.2605293166851799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
Z03,C. elaphus,Female,Fawn,2023-11-21,<1,4.1865865455410596,56.160795108628761,NA,<4,12.1296878748475,NA,2.1988984164538601,<1,<20,<4,<10,4.3097373638059597,NA,NA,<4,<2,<10,<1,10.857182708260019,NA,<1,NA,<10,Eifel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
Z04,C. elaphus,Male,Fawn,2023-11-29,NA,<1,<2,NA,<4,NA,NA,<2,NA,<20,<4,<10,5.5030726186149801,NA,NA,<4,<2,<10,<1,<10,NA,<1,NA,<10,Eifel,NA,NA,NA,<10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
Z05,C. elaphus,Female,Adult,2023-11-29,NA,<1,<2,NA,<4,NA,NA,2.5443222682414999,<1,<20,NA,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,<4,<10,Eifel,NA,NA,NA,<10,2.41603657089252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5364601096377601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
Z06,C. elaphus,Female,Adult,2023-11-29,NA,<1,<2,NA,<4,NA,NA,<2,<1,<20,NA,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,NA,12.198072516681259,Eifel,NA,NA,NA,<10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
Z07,C. elaphus,Male,Subadult,2023-11-21,<1,1.35557882058264,<2,<1,<4,30.211469161278,NA,<2,<1,<20,<4,<10,<4,NA,<1,<4,<2,<10,<1,<10,NA,<1,NA,17.36483021766508,Eifel,NA,NA,NA,<10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
Z08,C. elaphus,Male,Subadult,2023-11-29,NA,<1,<2,NA,<4,NA,NA,<2,NA,<20,NA,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,NA,<10,Eifel,NA,NA,NA,<10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
Z09,C. elaphus,Male,Subadult,2023-11-23,<1,2.6918677965972999,3.2538849597219599,<1,<4,NA,NA,<2,<1,<20,<4,<10,<4,NA,NA,<4,<2,<10,<1,<10,<1,<1,NA,<10,Eifel,NA,NA,NA,77.293211784797407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
Z10,C. elaphus,Male,Fawn,2023-11-23,<1,1.787256511607608,3.7582400804140002,NA,<4,NA,NA,<2,<1,<20,<4,<10,9.3123905855448008,NA,NA,<4,<2,<10,<1,<10,NA,<1,NA,<10,Eifel,NA,NA,NA,<10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
Z11,C. elaphus,Female,Fawn,2023-11-23,<1,1.6069643188573479,<2,<1,<4,NA,1.4238902083496361,<2,<1,<20,NA,<10,6.4021217618469199,NA,NA,<4,<2,<10,<1,<10,NA,<1,NA,<10,Eifel,NA,NA,NA,<10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
Z12,C. elaphus,Female,Adult,2023-11-29,NA,<1,<2,NA,<4,NA,NA,<2,<1,<20,NA,<10,4.9621466395061802,NA,NA,<4,<2,<10,<1,<10,NA,<1,NA,<10,Eifel,NA,NA,NA,<10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
Z13,C. elaphus,Male,Fawn,2023-11-21,<1,2.5789828869204401,3.6094150873055999,<1,<4,NA,NA,2.11526809912292,<1,<20,NA,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,<4,<10,Eifel,NA,NA,NA,<10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
Z14,C. elaphus,Male,Subadult,2023-11-29,<1,<1,<2,<1,<4,NA,NA,<2,<1,<20,NA,<10,8.2091818646786798,NA,NA,<4,<2,<10,<1,<10,NA,<1,NA,23.504546173470199,Eifel,NA,NA,NA,<10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
Z15,C. elaphus,Male,Subadult,2023-11-29,NA,<1,<2,NA,<4,NA,NA,<2,<1,<20,<4,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,<4,<10,Eifel,NA,NA,NA,<10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
Z16,C. elaphus,Female,Fawn,2023-11-29,<1,1.9310197944241461,2.4315781955878002,<1,<4,26.857848343735998,NA,2.26028068981456,<1,<20,<4,<10,39.040598564550002,NA,NA,<4,<2,<10,<1,11.180765449304181,NA,<1,NA,33.795325652369598,Eifel,NA,NA,NA,<10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
Z17,C. elaphus,Male,Subadult,2023-11-29,<1,<1,<2,<1,<4,NA,NA,<2,<1,<20,NA,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,NA,<10,Eifel,NA,NA,NA,<10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
Z18,C. elaphus,Male,Fawn,2023-11-29,<1,1.2975439947468921,<2,<1,<4,NA,NA,<2,<1,<20,NA,<10,10.57603488858852,NA,NA,<4,<2,<10,<1,<10,NA,<1,NA,<10,Eifel,NA,NA,NA,213.301180989004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
Z19,C. elaphus,Female,Fawn,2023-12-07,<1,2.99776868684468,3.9659375410350202,<1,<4,NA,NA,<2,<1,33.033939545580601,NA,<10,11.88280069897794,NA,NA,<4,<2,<10,<1,10.201173892529461,NA,<1,NA,17.257955095566619,Eifel,NA,NA,NA,<10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
Z20,C. elaphus,Female,Fawn,2023-11-29,<1,1.307562574285114,<2,<1,<4,13.189349317649979,1.912148097146896,<2,<1,<20,NA,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,<4,<10,Eifel,NA,NA,NA,<10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
Z21,C. elaphus,Female,Subadult,2023-11-29,NA,<1,<2,NA,<4,NA,NA,NA,NA,<20,<4,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,<4,<10,Eifel,NA,NA,NA,<10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
Z22,C. elaphus,Female,Adult,2023-12-07,<1,<1,<2,<1,<4,<10,NA,<2,<1,<20,NA,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,NA,<10,Eifel,NA,NA,NA,<10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
Z23,C. elaphus,Male,Fawn,2023-11-23,<1,<1,<2,<1,<4,NA,1.0967976101918619,<2,<1,<20,NA,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,NA,<10,Eifel,NA,NA,NA,<10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
Z24,C. elaphus,Female,Fawn,2023-12-07,1.7831089952866119,8.3311540937935593,10.491968752604601,<1,<4,NA,NA,<2,1.586647540726742,<20,NA,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,<4,<10,Eifel,NA,NA,NA,<10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
Z25,C. elaphus,Male,Fawn,2023-12-07,NA,1.2612805063900721,2.4846764604799398,<1,<4,NA,NA,2.7764620394889201,<1,<20,<4,<10,16.736315978636021,NA,NA,<4,<2,<10,<1,<10,NA,<1,NA,34.8110347617448,Eifel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
Z26,C. elaphus,Female,Adult,2023-12-07,NA,<1,<2,NA,<4,NA,NA,<2,<1,<20,<4,<10,<4,NA,NA,<4,<2,<10,<1,10.78728602771274,NA,<1,NA,<10,Eifel,NA,NA,NA,<10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
Z27,C. elaphus,Male,Fawn,2023-12-07,<1,1.574151693597666,2.3126035733743802,<1,<4,NA,NA,<2,<1,<20,NA,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,<4,<10,Eifel,NA,NA,NA,<10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
Z28,C. elaphus,Male,Fawn,2023-12-07,<1,1.705079051131952,2.2862188238525798,<1,<4,13.90448999414704,NA,<2,<1,<20,NA,<10,<4,NA,NA,<4,<2,<10,<1,10.78229742379744,NA,<1,<4,<10,Eifel,NA,NA,NA,<10,3.5556521936349399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
Z29,C. elaphus,Female,Fawn,2023-12-16,<1,1.9251496207879819,2.2549631922584199,<1,<4,<10,NA,<2,<1,<20,NA,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,NA,<10,Eifel,NA,NA,NA,<10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
Z30,C. elaphus,Male,Fawn,2023-12-07,<1,3.3888870424618598,3.5829567610190001,<1,<4,NA,NA,2.4014388675715201,<1,<20,<4,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,NA,<10,Eifel,NA,NA,NA,<10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
Z31,C. elaphus,Male,Fawn,2023-10-26,<1,2.7004916181857999,3.00917636826882,<1,<4,11.69981373648918,NA,<2,<1,<20,NA,<10,<4,NA,NA,<4,<2,<10,<1,<10,<1,<1,<4,<10,Eifel,NA,NA,NA,<10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
Z32,C. elaphus,Male,Fawn,2023-10-26,<1,2.9479025199935198,5.88493740860934,<1,<4,NA,NA,3.2480662533403399,<1,99.763880770680004,NA,<10,20.930252709129402,NA,NA,<4,<2,<10,<1,<10,NA,<1,NA,23.510115246665201,Eifel,NA,NA,NA,<10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
Z33,C. elaphus,Female,Fawn,2023-11-29,NA,<1,<2,NA,<4,NA,NA,2.5934746631438199,<1,<20,NA,<10,16.025365724713421,NA,NA,<4,<2,<10,<1,10.6131112972257,NA,<1,NA,<10,Eifel,NA,NA,NA,<10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
Z34,C. elaphus,Female,Fawn,2023-12-07,<1,1.5541078992508619,2.0515444210619802,<1,<4,NA,NA,<2,<1,<20,<4,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,NA,<10,Eifel,NA,NA,NA,<10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
Z35,C. elaphus,Male,Fawn,2023-11-29,<1,1.405507979233974,2.0680904318633999,<1,<4,NA,NA,2.1838285356054601,<1,<20,NA,<10,7.3698006775562197,NA,NA,<4,<2,<10,<1,<10,NA,<1,NA,12.514651891419399,Eifel,NA,NA,NA,17.078577524927599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
Z36,C. elaphus,Male,Fawn,2023-12-07,NA,<1,<2,NA,<4,NA,NA,<2,<1,<20,<4,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,NA,<10,Eifel,NA,NA,NA,<10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
Z37,C. elaphus,Male,Fawn,2023-11-29,NA,<1,<2,NA,<4,NA,NA,<2,<1,<20,<4,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,<4,<10,Eifel,NA,NA,NA,<10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
Z38,C. elaphus,Female,Adult,2023-11-29,NA,<1,<2,NA,<4,NA,1.6912704212413081,<2,<1,142.8149508652852,<4,<10,7.8439226439363798,NA,NA,<4,<2,<10,<1,<10,NA,<1,NA,<10,Eifel,NA,NA,NA,17.768676294081839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<1,2.0320848843431198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
Z39,C. elaphus,Female,Adult,2023-11-23,NA,<1,<2,NA,<4,<10,NA,2.39858781072278,<1,<20,NA,<10,24.416032226631199,NA,NA,<4,<2,<10,<1,10.09369139676042,NA,<1,NA,65.184711057927601,Eifel,NA,NA,NA,27.335751593297001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
Z40,C. elaphus,Male,Fawn,2023-11-23,<1,1.3466678343798,2.3464362968175401,NA,<4,NA,NA,<2,<1,<20,NA,<10,6.7220681332336198,NA,NA,<4,<2,<10,<1,<10,NA,<1,NA,<10,Eifel,NA,NA,NA,<10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
Z41,C. elaphus,Male,Subadult,2023-11-23,<1,1.0628730931816719,<2,NA,<4,10.46671312824544,NA,2.8291117814080402,<1,<20,NA,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,<4,<10,Eifel,NA,NA,NA,<10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
Z42,C. elaphus,Female,Fawn,2023-11-23,<1,2.2792636814840201,<2,<1,<4,NA,NA,3.1140941778537798,<1,<20,<4,<10,8.0612350526085592,NA,NA,<4,<2,<10,<1,12.764346274852119,NA,<1,<4,<10,Eifel,NA,NA,NA,22.6238712121784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
Z43,C. elaphus,Male,Subadult,2023-11-23,<1,1.257621169089592,<2,NA,<4,NA,NA,<2,1.904343775567652,<20,NA,<10,20.6603877121536,NA,NA,<4,<2,<10,<1,10.19476073494002,NA,4.8009464099591597,NA,44.536311383380003,Eifel,NA,NA,NA,<10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
Z44,C. elaphus,Female,Fawn,2023-11-23,<1,1.1674668877439141,<2,NA,<4,NA,<1,<2,<1,<20,NA,<10,16.805095038293999,NA,NA,<4,<2,<10,<1,<10,NA,<1,NA,24.355057353477001,Eifel,NA,NA,NA,23.977236107258399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
